dataset_key,dataset_label,lang,measure,n_real,n_random,real_mean,random_mean,ks_statistic,p_value,p_value_display
matched_random,Matched random structures,ja,avg_arity,1693,1693,0.8700003153635849,0.8700003153635849,0.0,1.0,1.000e+00
matched_random,Matched random structures,tr,avg_arity,2457,2457,0.8314405318373609,0.8314405318373609,0.0,1.0,1.000e+00
matched_random,Matched random structures,zh,avg_arity,588,588,0.901985967547196,0.901985967547196,0.0,1.0,1.000e+00
matched_random,Matched random structures,ar,proportion_high_arity_nodes,1074,1074,0.046677564624492233,0.05447411061936229,0.07076350093109869,0.00921551189904108,9.216e-03
matched_random,Matched random structures,es,proportion_high_arity_nodes,2141,2141,0.08636869403244375,0.05225560805897113,0.23493694535263895,3.2246786055660295e-52,3.225e-52
matched_random,Matched random structures,fi,proportion_high_arity_nodes,7258,7258,0.09193313045725329,0.05288564501846351,0.2612289887021218,4.998259888297292e-218,4.998e-218
matched_random,Matched random structures,hi,proportion_high_arity_nodes,2380,2380,0.12001766091051785,0.07055863254392689,0.3281512605042017,8.573487374177204e-114,8.573e-114
matched_random,Matched random structures,ja,proportion_high_arity_nodes,1693,1693,0.09522445731576769,0.05895513228649686,0.24217365623154163,5.76528650119955e-44,5.765e-44
matched_random,Matched random structures,tr,proportion_high_arity_nodes,2457,2457,0.06306282419727818,0.04466201053502652,0.14326414326414327,2.132874390222551e-22,2.133e-22
matched_random,Matched random structures,zh,proportion_high_arity_nodes,588,588,0.1086397884717219,0.07727125482227551,0.23639455782312926,8.074605627011858e-15,8.075e-15
pure_random_pruefer,Pure random (Pruefer),ar,mean_dep_distance,1074,1074,0.5667350211344627,1.6603270668913128,0.5782122905027933,2.145020905439315e-166,2.145e-166
pure_random_pruefer,Pure random (Pruefer),en,mean_dep_distance,4968,4968,0.5570210458042589,1.4979345589550912,0.49114331723027377,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),es,mean_dep_distance,2141,2141,0.7663152509953084,1.721924186146512,0.5282578234469874,1.7335917806241545e-273,1.734e-273
pure_random_pruefer,Pure random (Pruefer),fi,mean_dep_distance,7258,7258,0.7822922817514958,1.6482158712663015,0.4783686966106365,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,mean_dep_distance,2380,2380,1.200378484727225,2.3151048752834473,0.6218487394957983,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),ja,mean_dep_distance,1693,1693,0.8692850579885422,1.8778738784350117,0.564087418783225,1.2712526994770679e-248,1.271e-248
pure_random_pruefer,Pure random (Pruefer),tr,mean_dep_distance,2457,2457,0.7345769456880561,1.3051009102596425,0.3312983312983313,9.217960711445269e-120,9.218e-120
pure_random_pruefer,Pure random (Pruefer),zh,mean_dep_distance,588,588,1.2520050480509648,2.4591600529100504,0.6615646258503401,4.120237014965687e-122,4.120e-122
pure_random_pruefer,Pure random (Pruefer),ar,mean_intervener_complexity,1074,1074,1.129553516006029,1.8970323076468318,0.6424581005586593,6.413302028548277e-209,6.413e-209
pure_random_pruefer,Pure random (Pruefer),en,mean_intervener_complexity,4968,4968,1.106960499578256,1.810244054009151,0.5948067632850241,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),es,mean_intervener_complexity,2141,2141,1.082874046395762,1.9306456336232154,0.7328351237739374,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),fi,mean_intervener_complexity,7258,7258,1.133956619296938,1.9034262685509549,0.6417745935519427,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,mean_intervener_complexity,2380,2380,1.2911786381219186,2.2975373482726473,0.8,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),ja,mean_intervener_complexity,1693,1693,1.110952896614442,2.029579313513153,0.7708210277613704,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),tr,mean_intervener_complexity,2457,2457,1.1814207544366246,1.6956972627607574,0.46967846967846966,2.7583249152451027e-245,2.758e-245
pure_random_pruefer,Pure random (Pruefer),zh,mean_intervener_complexity,588,588,1.2891379170715918,2.394013875391428,0.8384353741496599,7.993907764737782e-211,7.994e-211
pure_random_pruefer,Pure random (Pruefer),ar,tree_depth,1074,1074,4.015828677839851,4.608938547486034,0.186219739292365,1.09406821463854e-16,1.094e-16
pure_random_pruefer,Pure random (Pruefer),en,tree_depth,4968,4968,3.9716183574879227,4.411231884057971,0.11312399355877617,4.305912810033016e-28,4.306e-28
pure_random_pruefer,Pure random (Pruefer),es,tree_depth,2141,2141,3.44978981784213,4.762260625875759,0.4385801027557216,1.8475807007949294e-185,1.848e-185
pure_random_pruefer,Pure random (Pruefer),fi,tree_depth,7258,7258,3.5158445852852025,4.679939377238909,0.3607054284926977,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,tree_depth,2380,2380,3.641596638655462,5.605042016806722,0.6516806722689076,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),ja,tree_depth,1693,1693,3.4997046662728883,5.018901358535144,0.49734199645599525,1.3835210283043083e-190,1.384e-190
pure_random_pruefer,Pure random (Pruefer),tr,tree_depth,2457,2457,3.376068376068376,4.205128205128205,0.24786324786324787,1.1756737380392007e-66,1.176e-66
pure_random_pruefer,Pure random (Pruefer),zh,tree_depth,588,588,3.95578231292517,5.8061224489795915,0.6904761904761905,3.120635423011482e-134,3.121e-134
pure_random_pruefer,Pure random (Pruefer),ar,tree_density,1074,1074,0.4417619262591336,0.5010149042970273,0.27932960893854747,2.7326673318910827e-37,2.733e-37
pure_random_pruefer,Pure random (Pruefer),en,tree_density,4968,4968,0.4161042733493153,0.49274125688678944,0.26851851851851855,6.696522601740795e-158,6.697e-158
pure_random_pruefer,Pure random (Pruefer),es,tree_density,2141,2141,0.3408691198368235,0.5087272268963073,0.6188696870621205,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),fi,tree_density,7258,7258,0.35700296052129254,0.5098303628339426,0.5254891154588041,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,tree_density,2380,2380,0.34979331184688356,0.542641890089369,0.7205882352941176,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),ja,tree_density,1693,1693,0.3498861329035743,0.5231021505238878,0.6414648552864737,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),tr,tree_density,2457,2457,0.3725367388137644,0.48800588006937395,0.4354904354904355,1.09274413531575e-209,1.093e-209
pure_random_pruefer,Pure random (Pruefer),zh,tree_density,588,588,0.3757940351465276,0.5535701401772821,0.6887755102040817,1.6950336669253622e-133,1.695e-133
pure_random_pruefer,Pure random (Pruefer),ar,max_arity,1074,1074,2.2951582867783986,2.14804469273743,0.1042830540037244,1.6662475986182375e-05,1.666e-05
pure_random_pruefer,Pure random (Pruefer),en,max_arity,4968,4968,2.4106280193236715,2.036231884057971,0.19484702093397746,7.412664430801617e-83,7.413e-83
pure_random_pruefer,Pure random (Pruefer),es,max_arity,2141,2141,2.9318075665576835,2.163007940214853,0.3750583839327417,1.9201443252792343e-134,1.920e-134
pure_random_pruefer,Pure random (Pruefer),fi,max_arity,7258,7258,3.0828051804904932,2.1414990355469827,0.42270597960870765,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,max_arity,2380,2380,4.01890756302521,2.4487394957983195,0.6163865546218488,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),ja,max_arity,1693,1693,3.2528056704075605,2.2504430005906673,0.4199645599527466,3.594877750053241e-134,3.595e-134
pure_random_pruefer,Pure random (Pruefer),tr,max_arity,2457,2457,2.5392755392755393,1.9796499796499796,0.2796092796092796,5.913774379700485e-85,5.914e-85
pure_random_pruefer,Pure random (Pruefer),zh,max_arity,588,588,3.675170068027211,2.522108843537415,0.46938775510204084,6.586686563815794e-59,6.587e-59
pure_random_pruefer,Pure random (Pruefer),ar,avg_arity,1074,1074,0.8496039807492316,0.8496039807492316,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),en,avg_arity,4968,4968,0.8380388599591511,0.8380388599591511,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),es,avg_arity,2141,2141,0.8560642961273643,0.8560642961273643,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),fi,avg_arity,7258,7258,0.8541221022173011,0.8541221022173011,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),hi,avg_arity,2380,2380,0.894188144954976,0.894188144954976,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),ja,avg_arity,1693,1693,0.8700003153635849,0.8700003153635849,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),tr,avg_arity,2457,2457,0.8314405318373609,0.8314405318373609,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),zh,avg_arity,588,588,0.901985967547196,0.901985967547196,0.0,1.0,1.000e+00
pure_random_pruefer,Pure random (Pruefer),ar,proportion_high_arity_nodes,1074,1074,0.046677564624492233,0.033370012978951556,0.1042830540037244,1.6662475986182375e-05,1.666e-05
pure_random_pruefer,Pure random (Pruefer),en,proportion_high_arity_nodes,4968,4968,0.053258687210981696,0.02812380185568598,0.19484702093397746,7.412664430801617e-83,7.413e-83
pure_random_pruefer,Pure random (Pruefer),es,proportion_high_arity_nodes,2141,2141,0.08636869403244375,0.03347195515574796,0.3750583839327417,1.9201443252792343e-134,1.920e-134
pure_random_pruefer,Pure random (Pruefer),fi,proportion_high_arity_nodes,7258,7258,0.09193208667693147,0.03181870370834284,0.42270597960870765,0.0,<1e-300
pure_random_pruefer,Pure random (Pruefer),hi,proportion_high_arity_nodes,2380,2380,0.12005267491612011,0.043309369202226375,0.5386554621848739,9.2006683e-317,9.201e-317
pure_random_pruefer,Pure random (Pruefer),ja,proportion_high_arity_nodes,1693,1693,0.09522445731576769,0.0357259626899322,0.4199645599527466,3.594877750053241e-134,3.595e-134
pure_random_pruefer,Pure random (Pruefer),tr,proportion_high_arity_nodes,2457,2457,0.06306282419727818,0.025096141365982774,0.2796092796092796,5.913774379700485e-85,5.914e-85
pure_random_pruefer,Pure random (Pruefer),zh,proportion_high_arity_nodes,588,588,0.1086397884717219,0.04504943752392729,0.46938775510204084,6.586686563815794e-59,6.587e-59
pure_random_root0,Pure random (root 0),ar,mean_dep_distance,1074,1074,0.5667350211344627,1.485936949973263,0.5456238361266295,4.4323988957456254e-147,4.432e-147
pure_random_root0,Pure random (root 0),en,mean_dep_distance,4968,4968,0.5570210458042589,1.362292532235166,0.48128019323671495,0.0,<1e-300
pure_random_root0,Pure random (root 0),es,mean_dep_distance,2141,2141,0.7663152509953084,1.565572486053571,0.5049042503503036,1.1502554745422358e-248,1.150e-248
pure_random_root0,Pure random (root 0),fi,mean_dep_distance,7258,7258,0.7822922817514958,1.485288637069431,0.4466795260402315,0.0,<1e-300
pure_random_root0,Pure random (root 0),hi,mean_dep_distance,2380,2380,1.200378484727225,1.9921934986115628,0.5273109243697479,7.905791783704691e-303,7.906e-303
pure_random_root0,Pure random (root 0),ja,mean_dep_distance,1693,1693,0.8692850579885422,1.679170406282041,0.5404607206142942,4.967894530884043e-227,4.968e-227
pure_random_root0,Pure random (root 0),tr,mean_dep_distance,2457,2457,0.7345769456880561,1.2332240363986395,0.2999592999593,6.573588665383792e-98,6.574e-98
pure_random_root0,Pure random (root 0),zh,mean_dep_distance,588,588,1.2520050480509648,2.139247430573961,0.5799319727891157,7.851964321864983e-92,7.852e-92
pure_random_root0,Pure random (root 0),ar,mean_intervener_complexity,1074,1074,1.129553516006029,1.6500858545551274,0.6303538175046555,1.9691323496421377e-200,1.969e-200
pure_random_root0,Pure random (root 0),en,mean_intervener_complexity,4968,4968,1.106960499578256,1.5795452512239858,0.5569645732689211,0.0,<1e-300
pure_random_root0,Pure random (root 0),es,mean_intervener_complexity,2141,2141,1.082874046395762,1.6798126221176195,0.7052779075198505,0.0,<1e-300
pure_random_root0,Pure random (root 0),fi,mean_intervener_complexity,7258,7258,1.133956619296938,1.6420740789781805,0.5912096996417746,0.0,<1e-300
pure_random_root0,Pure random (root 0),hi,mean_intervener_complexity,2380,2380,1.2911786381219186,1.9283021693525817,0.7147058823529412,0.0,<1e-300
pure_random_root0,Pure random (root 0),ja,mean_intervener_complexity,1693,1693,1.110952896614442,1.751354529174968,0.7424689899586533,0.0,<1e-300
pure_random_root0,Pure random (root 0),tr,mean_intervener_complexity,2457,2457,1.1814207544366246,1.5017293699833392,0.3862433862433862,8.561832202014336e-164,8.562e-164
pure_random_root0,Pure random (root 0),zh,mean_intervener_complexity,588,588,1.2891379170715918,2.0096940002552253,0.7585034013605442,4.3190635929722653e-166,4.319e-166
pure_random_root0,Pure random (root 0),ar,tree_depth,1074,1074,4.015828677839851,3.0865921787709496,0.2718808193668529,2.52092741653337e-35,2.521e-35
pure_random_root0,Pure random (root 0),en,tree_depth,4968,4968,3.9716183574879227,2.94585346215781,0.2924718196457327,1.0874770669263851e-187,1.087e-187
pure_random_root0,Pure random (root 0),es,tree_depth,2141,2141,3.44978981784213,3.1172349369453527,0.1396543671181691,1.291839373212098e-18,1.292e-18
pure_random_root0,Pure random (root 0),fi,tree_depth,7258,7258,3.5158445852852025,3.082391843483053,0.1537613667677046,3.060755485363993e-75,3.061e-75
